A;B;C;D;E;F
x[1,33];B;1;0;1;-
x[2,46];B;1;0;1;-
x[3,64];B;1;0;1;-
x[4,25];B;1;0;1;-
x[5,19];B;1;0;1;-
x[6,26];B;1;0;1;-
x[7,20];B;1;0;1;-
x[8,75];B;1;0;1;-
x[9,35];B;1;0;1;-
x[10,17];B;1;0;1;-
x[11,54];B;1;0;1;-
x[12,49];B;1;0;1;-
x[13,65];B;1;0;1;-
x[14,67];B;1;0;1;-
x[15,7];B;1;0;1;-
x[16,11];B;1;0;1;-
x[17,22];B;1;0;1;-
x[18,6];B;1;0;1;-
x[19,66];B;1;0;1;-
x[20,48];B;1;0;1;-
x[21,47];B;1;0;1;-
x[22,39];B;1;0;1;-
x[23,12];B;1;0;1;-
x[24,62];B;1;0;1;-
x[25,69];B;1;0;1;-
x[26,43];B;1;0;1;-
x[27,79];B;1;0;1;-
x[28,61];B;1;0;1;-
x[29,24];B;1;0;1;-
x[30,73];B;1;0;1;-
x[31,80];B;1;0;1;-
x[32,15];B;1;0;1;-
x[33,70];B;1;0;1;-
x[34,41];B;1;0;1;-
x[35,45];B;1;0;1;-
x[36,76];B;1;0;1;-
x[37,57];B;1;0;1;-
x[38,58];B;1;0;1;-
x[39,59];B;1;0;1;-
x[40,71];B;1;0;1;-
x[41,77];B;1;0;1;-
x[42,68];B;1;0;1;-
x[43,3];B;1;0;1;-
x[44,23];B;1;0;1;-
x[45,10];B;1;0;1;-
x[46,27];B;1;0;1;-
x[47,63];B;1;0;1;-
x[48,9];B;1;0;1;-
x[49,13];B;1;0;1;-
x[50,51];B;1;0;1;-
x[51,38];B;1;0;1;-
x[52,28];B;1;0;1;-
x[53,8];B;1;0;1;-
x[54,81];B;1;0;1;-
x[55,52];B;1;0;1;-
x[56,72];B;1;0;1;-
x[57,55];B;1;0;1;-
x[58,60];B;1;0;1;-
x[59,34];B;1;0;1;-
x[60,5];B;1;0;1;-
x[61,53];B;1;0;1;-
x[62,44];B;1;0;1;-
x[63,2];B;1;0;1;-
x[64,32];B;1;0;1;-
x[65,30];B;1;0;1;-
x[66,40];B;1;0;1;-
x[67,74];B;1;0;1;-
x[68,50];B;1;0;1;-
x[69,29];B;1;0;1;-
x[70,42];B;1;0;1;-
x[71,18];B;1;0;1;-
x[72,21];B;1;0;1;-
x[73,56];B;1;0;1;-
x[74,78];B;1;0;1;-
x[75,36];B;1;0;1;-
x[76,4];B;1;0;1;-
x[77,16];B;1;0;1;-
x[78,37];B;1;0;1;-
x[79,31];B;1;0;1;-
x[80,1];B;1;0;1;-
x[81,14];B;1;0;1;-
